player,team,type,xT_added,x,y,end_x,end_y
Jordan Brian Henderson,Liverpool,Pass,-0.005571519999999998,61.0,40.1,34.0,43.8
Joël Andre Job Matip,Liverpool,Pass,0.00989753,36.1,44.0,86.6,3.5
Kieran Trippier,Tottenham Hotspur,Pass,0.004068810000000001,33.5,76.6,54.5,65.9
Fábio Henrique Tavares,Liverpool,Pass,0.007897079999999997,65.6,14.2,82.8,17.1
Moussa Sissoko,Tottenham Hotspur,Pass,0.0015522899999999996,37.3,63.0,44.9,60.7
Jordan Brian Henderson,Liverpool,Pass,0.005418929999999999,75.2,19.4,86.4,20.3
Toby Alderweireld,Tottenham Hotspur,Pass,0.0050135100000000005,33.7,59.8,60.6,60.5
Virgil van Dijk,Liverpool,Pass,0.0022727300000000006,59.5,19.6,65.4,19.2
Georginio Wijnaldum,Liverpool,Pass,0.0007380099999999973,64.7,18.4,64.9,23.8
Jordan Brian Henderson,Liverpool,Pass,0.011695880000000002,64.3,24.3,99.2,24.5
Sadio Mané,Liverpool,Pass,0.0,106.1,23.4,104.2,26.4
Harry Kane,Tottenham Hotspur,Pass,-0.004268819999999998,60.0,40.0,43.4,40.3
Bamidele Alli,Tottenham Hotspur,Pass,0.03228814,42.8,40.3,106.2,58.8
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.007287600000000002,99.3,75.8,105.6,72.4
Andrew Robertson,Liverpool,Pass,0.00489558,14.5,7.7,45.0,27.6
Toby Alderweireld,Tottenham Hotspur,Pass,0.0092007,75.1,52.5,91.9,51.6
Fábio Henrique Tavares,Liverpool,Pass,0.006843099999999998,28.2,28.5,64.2,29.7
Jan Vertonghen,Tottenham Hotspur,Pass,0.005060040000000002,55.9,50.4,75.0,52.7
Fábio Henrique Tavares,Liverpool,Pass,0.00601173,45.1,27.4,70.4,17.8
Kieran Trippier,Tottenham Hotspur,Pass,0.0026987899999999995,49.7,62.3,54.0,49.4
Harry Winks,Tottenham Hotspur,Pass,0.0025648599999999987,53.6,50.1,60.0,53.4
Bamidele Alli,Tottenham Hotspur,Pass,0.00315936,57.7,56.9,77.7,80.0
Andrew Robertson,Liverpool,Pass,0.00122067,43.7,0.1,53.6,8.5
Sadio Mané,Liverpool,Pass,0.0,49.2,4.3,41.6,4.3
Andrew Robertson,Liverpool,Pass,0.0055933699999999986,41.6,4.3,63.7,51.2
Joël Andre Job Matip,Liverpool,Pass,0.0035222199999999995,31.3,45.4,54.6,46.8
Harry Winks,Tottenham Hotspur,Pass,0.0018473300000000012,67.1,20.4,76.6,14.4
Trent Alexander-Arnold,Liverpool,Pass,0.006556279999999999,43.5,65.7,78.1,64.7
Danny Rose,Tottenham Hotspur,Pass,0.003970940000000001,42.0,15.4,60.5,16.5
Heung-Min Son,Tottenham Hotspur,Pass,0.0032331900000000004,60.5,16.5,70.8,26.9
Fábio Henrique Tavares,Liverpool,Pass,0.0018268500000000014,50.0,51.8,63.6,62.4
Harry Winks,Tottenham Hotspur,Pass,0.0004458799999999992,56.5,17.7,58.6,22.3
Jordan Brian Henderson,Liverpool,Pass,0.00726626,62.2,58.3,83.1,28.6
Kieran Trippier,Tottenham Hotspur,Pass,-0.0009391300000000016,37.0,51.5,29.2,44.2
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0007549299999999991,29.2,44.2,7.3,48.1
Hugo Lloris,Tottenham Hotspur,Pass,0.0003668899999999999,7.9,43.6,10.2,52.1
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0010497700000000002,11.7,47.8,10.2,23.7
Jan Vertonghen,Tottenham Hotspur,Pass,0.0005309800000000003,9.6,25.2,3.3,40.7
Hugo Lloris,Tottenham Hotspur,Pass,-0.0005309800000000003,3.9,40.9,3.7,55.8
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0010834199999999999,3.0,57.5,14.8,76.9
Kieran Trippier,Tottenham Hotspur,Pass,0.0016276599999999995,13.6,76.2,28.3,60.9
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.0013107199999999996,29.5,59.8,30.6,43.4
Harry Winks,Tottenham Hotspur,Pass,-0.0015463100000000004,31.6,46.4,14.6,56.3
Toby Alderweireld,Tottenham Hotspur,Pass,-8.600000000000968e-07,14.6,53.7,35.6,3.7
Danny Rose,Tottenham Hotspur,Pass,0.0034731899999999993,49.7,2.0,64.4,2.0
Heung-Min Son,Tottenham Hotspur,Pass,0.0008844200000000003,49.3,5.4,41.9,10.2
Jan Vertonghen,Tottenham Hotspur,Pass,0.0004792700000000004,41.1,13.2,40.7,42.2
Toby Alderweireld,Tottenham Hotspur,Pass,0.01592556,41.3,46.0,98.2,20.5
Bamidele Alli,Tottenham Hotspur,Pass,0.01538188,99.9,17.4,100.1,24.7
Kieran Trippier,Tottenham Hotspur,Pass,0.2195259,120.0,0.1,110.6,44.3
Moussa Sissoko,Tottenham Hotspur,Pass,-0.009338280000000001,76.4,57.5,25.3,53.5
Hugo Lloris,Tottenham Hotspur,Pass,-0.0005892200000000014,22.8,50.8,29.5,14.6
Jan Vertonghen,Tottenham Hotspur,Pass,-0.0008174500000000008,36.7,10.0,10.4,28.5
